Symbol,Sector,Current Price
HES,Energy,133.11
HPE,Information Technology,14.41
HLT,Consumer Discretionary,146.25
HOLX,Health Care,81.06
HD,Consumer Discretionary,295.16
HON,Industrials,198.25
HRL,Consumer Staples,39.27
HST,Real Estate,17.35
HWM,Industrials,45.18
HPQ,Information Technology,30.74
HUM,Health Care,513.87
HBAN,Financials,10.23
HII,Industrials,201.13
IBM,Information Technology,126.15
IEX,Industrials,205.29
IDXX,Health Care,492.06
ITW,Industrials,227.66
ILMN,Health Care,201.29
INCY,Health Care,63.63
IR,Industrials,59.93
PODD,Health Care,302.87
INTC,Information Technology,29.68
ICE,Financials,108.55
IFF,Materials,84.17
IP,Materials,32.03
IPG,Communication Services,38.41
INTU,Information Technology,447.66
ISRG,Health Care,312.23
IVZ,Financials,15.33
INVH,Real Estate,33.54
IQV,Health Care,195.45
IRM,Real Estate,55.17
JBHT,Industrials,170.69
JKHY,Financials,150.7
J,Industrials,116.48
JNJ,Health Care,158.48
JCI,Industrials,63.19
JPM,Financials,139.5
JNPR,Information Technology,29.43
K,Consumer Staples,69.05
KDP,Consumer Staples,31.87
KEY,Financials,10.05
KEYS,Information Technology,157.72
KMB,Consumer Staples,143.8
KIM,Real Estate,18.38
KMI,Energy,16.52
KLAC,Information Technology,428.57
KHC,Consumer Staples,38.91
KR,Consumer Staples,49.33
LHX,Industrials,185.84
LH,Health Care,216.08
LRCX,Information Technology,598.74
LW,Consumer Staples,113.84
LVS,Consumer Discretionary,60.64
LDOS,Industrials,78.92
LEN,Consumer Discretionary,115.8
LNC,Financials,21.41
LIN,Materials,368.19
LYV,Communication Services,84.5
LKQ,Consumer Discretionary,56.68
LMT,Industrials,455.75
L,Financials,58.87
LOW,Consumer Discretionary,209.16
LYB,Materials,90.04
MTB,Financials,122.55
MRO,Energy,23.05
MPC,Energy,110.98
MKTX,Financials,288.03
MAR,Consumer Discretionary,181.04
MMC,Financials,179.37
MLM,Materials,407.82
MAS,Industrials,53.6
MA,Financials,392.02
MTCH,Communication Services,32.02
MKC,Consumer Staples,88.58
MCD,Consumer Discretionary,294.05
MCK,Health Care,397.86
MDT,Health Care,89.02
MRK,Health Care,114.0
META,Communication Services,246.85
MET,Financials,51.88
MTD,Health Care,1384.43
MGM,Consumer Discretionary,42.94
MCHP,Information Technology,77.917
MU,Information Technology,67.57
MSFT,Information Technology,318.52
MAA,Real Estate,148.38
MRNA,Health Care,125.33
MHK,Consumer Discretionary,98.49
MOH,Health Care,284.83
TAP,Consumer Staples,61.88
MDLZ,Consumer Staples,77.27
MPWR,Information Technology,431.47
MNST,Consumer Staples,59.85
MCO,Financials,314.15
MS,Financials,84.49
MOS,Materials,35.79
MSI,Information Technology,296.53
MSCI,Financials,472.25
NDAQ,Financials,55.22
NTAP,Information Technology,66.54
NFLX,Communication Services,371.29
NWL,Consumer Discretionary,8.98
NEM,Materials,43.27
NWSA,Communication Services,18.77
NWS,Communication Services,18.86
NEE,Utilities,75.1
NKE,Consumer Discretionary,118.87
NI,Utilities,27.36
NDSN,Industrials,217.59
NSC,Industrials,216.17
NTRS,Financials,72.89
NOC,Industrials,443.6
NCLH,Consumer Discretionary,14.53
NRG,Utilities,33.46
NUE,Materials,140.28
NVDA,Information Technology,316.78
NVR,Consumer Discretionary,5883.17
NXPI,Information Technology,175.64
ORLY,Consumer Discretionary,941.8
OXY,Energy,58.25
ODFL,Industrials,306.43
OMC,Communication Services,94.22
ON,Information Technology,86.49
OKE,Energy,58.38
ORCL,Information Technology,102.34
OGN,Health Care,20.47
OTIS,Industrials,84.5
PCAR,Industrials,71.61
PKG,Materials,129.23
PARA,Communication Services,15.71
PH,Industrials,335.15
PAYX,Industrials,108.76
PAYC,Information Technology,282.25
PYPL,Financials,61.27
PNR,Industrials,59.45
PEP,Consumer Staples,191.56
PFE,Health Care,36.48
PCG,Utilities,16.56
PM,Consumer Staples,92.6
PSX,Energy,95.23
PNW,Utilities,78.21
PXD,Energy,203.97
PNC,Financials,120.15
POOL,Consumer Discretionary,353.22
PPG,Materials,142.57
PPL,Utilities,27.22
PFG,Financials,69.86
PG,Consumer Staples,152.53
PGR,Financials,136.11
PLD,Real Estate,122.06
PRU,Financials,82.39
PEG,Utilities,61.41
PTC,Information Technology,133.8
PSA,Real Estate,284.8
PHM,Consumer Discretionary,70.15
QRVO,Information Technology,95.02
PWR,Industrials,171.89
QCOM,Information Technology,106.96
DGX,Health Care,130.92
RL,Consumer Discretionary,112.78
RJF,Financials,89.08
RTX,Industrials,96.13
O,Real Estate,60.07
REG,Real Estate,58.24
REGN,Health Care,747.48
RF,Financials,16.99
RSG,Industrials,144.71
RMD,Health Care,224.21
RVTY,Health Care,116.84
RHI,Industrials,68.58
ROK,Industrials,281.11
ROL,Industrials,41.16
ROP,Information Technology,458.51
ROST,Consumer Discretionary,105.38
RCL,Consumer Discretionary,80.13
SPGI,Financials,363.8
CRM,Information Technology,213.32
SBAC,Real Estate,234.91
SLB,Energy,44.85
STX,Information Technology,62.75
SEE,Materials,42.18
SRE,Utilities,147.11
NOW,Information Technology,510.17
SHW,Materials,232.87
SPG,Real Estate,105.54
SWKS,Information Technology,102.11
SJM,Consumer Staples,151.88
SNA,Industrials,261.26
SEDG,Information Technology,301.68
SO,Utilities,71.05
LUV,Industrials,29.96
SWK,Industrials,83.14
SBUX,Consumer Discretionary,107.09
STT,Financials,69.06
STLD,Materials,97.81
STE,Health Care,206.77
SYK,Health Care,285.26
SYF,Financials,30.0
SNPS,Information Technology,409.71
SYY,Consumer Staples,73.19
TMUS,Communication Services,138.18
TROW,Financials,107.69
TTWO,Communication Services,139.63
TPR,Consumer Discretionary,44.13
