Symbol,Sector,Current Price
RBBV11,Real Estate,100.0
RBGS11,Financial,28.45
RBRD11,Financial,39.78
RBVO11,Real Estate,8.5
RNDP11,Financial,145.0
RNGO11,Real Estate,43.38
SHPH11,Financial,782.04
SPTW11,Financial,40.85
VRTA11,Real Estate,87.3
XPCM11,Real Estate,10.9
SANB3,Financial Services,12.37
FRAS3,Consumer Cyclical,15.66
GEPA4,Utilities,25.6
OFSA3,Healthcare,20.99
AAPL34,Technology,44.65
ABTT34,Healthcare,40.84
AMGN34,Healthcare,48.13
AMZO34,Consumer Cyclical,32.68
ARMT34,Basic Materials,61.56
ATTB34,Communication Services,25.06
AXPB34,Financial Services,75.6124
BERK34,Financial Services,88.23
BOAC34,Financial Services,33.28
CMCS34,Communication Services,44.65
COCA34,Consumer Defensive,47.21
CSCO34,Technology,55.05
DISB34,Communication Services,27.25
EXXO34,Energy,71.52
FDMO34,Consumer Cyclical,61.68
GEOO34,Industrials,556.77
GSGI34,Financial Services,53.22
HALI34,Energy,196.56
HOME34,Consumer Cyclical,53.6
HPQB34,Technology,134.11
ITLC34,Technology,30.76
JNJB34,Healthcare,53.29
JPMC34,Financial Services,73.245
LMTB34,Industrials,2058.5
MMMC34,Industrials,113.38
MRCK34,Healthcare,65.72
MSCD34,Financial Services,65.3108
MSFT34,Technology,68.42
NIKE34,Consumer Cyclical,49.31
ORCL34,Technology,90.87
PFIZ34,Healthcare,42.74
PGCO34,Consumer Defensive,53.75
SBUB34,Consumer Cyclical,467.66
VERZ34,Communication Services,27.01
VISA34,Financial Services,59.49
WALM34,Consumer Defensive,51.63
WFCO34,Financial Services,49.97
BOEI34,Industrials,961.17
CHVX34,Energy,83.66
COPH34,Energy,48.1
CTGP34,Financial Services,34.05
IBMB34,Technology,721.36
LILY34,Healthcare,91.12
MCDC34,Consumer Cyclical,65.85
MFII11,Real Estate,93.09
MSBR34,Financial Services,81.12
NFLX34,Communication Services,38.89
PEPB34,Consumer Defensive,58.13
SLBG34,Energy,143.1
UPSS34,Industrials,49.44
USBC34,Financial Services,40.64
GUAR3,Consumer Cyclical,5.18
ACNB34,Technology,1594.22
BONY34,Financial Services,212.1
DHER34,Healthcare,39.74
KMBB34,Consumer Defensive,622.8
METB34,Financial Services,319.04
TELB4,Communication Services,12.0
TGTB34,Consumer Defensive,550.43
WHRL3,Consumer Cyclical,4.43
BMYB34,Healthcare,291.0693
COLG34,Consumer Defensive,51.75
COTY34,Consumer Defensive,26.15
EBAY34,Consumer Cyclical,109.58
FCXO34,Basic Materials,61.38
FDXB34,Industrials,1343.61
GDBR34,Industrials,1136.9358
HSHY34,Consumer Defensive,204.8
MDLZ34,Consumer Defensive,176.12
MOSC34,Basic Materials,28.65
QCOM34,Technology,47.03
TEXA34,Technology,54.34
WUNI34,Financial Services,67.9
XRXB34,Technology,77.7995
SHUL4,Consumer Cyclical,7.6
ATOM3,Communication Services,2.2
KHCB34,Consumer Defensive,42.92
SAPR4,Utilities,4.46
CRIV4,Financial Services,6.38
RPMG3,Energy,2.31
BRSR3,Financial Services,12.35
ENGI11,Utilities,45.05
SNSY5,Consumer Cyclical,4.24
AZEV4,Industrials,2.46
BAHI3,Consumer Defensive,9.8
BALM4,Healthcare,10.55
BAUH4,Consumer Defensive,70.99
BDLL4,Industrials,9.7
BEES3,Financial Services,8.52
BEES4,Financial Services,9.82
BGIP4,Financial Services,23.0
BMEB3,Financial Services,15.07
BMEB4,Financial Services,12.0
BMIN3,Financial Services,22.4
BMIN4,Financial Services,16.4
