Symbol,Sector,Current Price
ABCB4,Financial Services,20.09
AGRO3,Consumer Defensive,29.11
RAIL3,Industrials,22.56
ALPA3,Consumer Cyclical,7.62
ALPA4,Consumer Cyclical,7.35
ALSO3,Real Estate,23.53
AMAR3,Consumer Cyclical,0.56
ABEV3,Consumer Defensive,13.01
ARZZ3,Consumer Cyclical,63.56
BBAS3,Financial Services,49.81
BBDC3,Financial Services,12.81
BBDC4,Financial Services,14.64
BEEF3,Consumer Defensive,7.91
BPAN4,Financial Services,8.06
BRAP3,Financial Services,20.33
BRAP4,Financial Services,22.07
BRFS3,Consumer Defensive,10.8
APER3,Financial Services,32.91
BRKM3,Basic Materials,19.5
BRKM5,Basic Materials,18.7
BRPR3,Real Estate,181.01
BRSR6,Financial Services,11.44
OIBR3,Communication Services,0.59
OIBR4,Communication Services,1.95
B3SA3,Financial Services,11.74
CCRO3,Industrials,12.23
CEDO4,Consumer Cyclical,14.99
CEED3,Utilities,36.97
CGAS5,Utilities,128.2
CGRA4,Consumer Cyclical,25.61
CIEL3,Technology,3.7
CMIG3,Utilities,18.02
CMIG4,Utilities,12.23
COCE5,Utilities,41.15
CPFE3,Utilities,33.2
CPLE3,Utilities,7.87
CPLE6,Utilities,8.44
CSAN3,Energy,15.96
CSMG3,Utilities,17.25
CSNA3,Basic Materials,11.66
CTNM4,Consumer Cyclical,2.04
CYRE3,Consumer Cyclical,19.1
DASA3,Healthcare,10.61
DIRR3,Real Estate,17.9
ECOR3,Industrials,7.39
ELET3,Utilities,35.61
ELET6,Utilities,39.41
EMBR3,Industrials,17.59
ENGI4,Utilities,7.33
EQTL3,Utilities,30.88
YDUQ3,Consumer Defensive,20.02
ETER3,Industrials,7.88
EUCA4,Industrials,12.75
EVEN3,Real Estate,5.85
EZTC3,Real Estate,16.57
FESA4,Basic Materials,49.31
FHER3,Basic Materials,7.25
TASA4,Industrials,15.53
FLRY3,Healthcare,15.59
FRIO3,Consumer Cyclical,43.06
GFSA3,Consumer Cyclical,3.76
GGBR3,Basic Materials,21.0
GGBR4,Basic Materials,22.54
GOAU3,Basic Materials,10.5
GOAU4,Basic Materials,10.51
GOLL4,Industrials,7.48
GRND3,Consumer Cyclical,6.43
GSHP3,Real Estate,14.5
HBOR3,Real Estate,2.39
PRIO3,Energy,49.8
HYPE3,Healthcare,34.6
MEAL3,Consumer Cyclical,1.66
INEP3,Industrials,4.91
INEP4,Industrials,3.55
ITSA3,Industrials,9.11
ITSA4,Industrials,9.03
ITUB3,Financial Services,23.55
ITUB4,Financial Services,27.73
JBSS3,Consumer Defensive,19.21
JFEN3,Real Estate,2.33
JHSF3,Real Estate,4.5
JSLG3,Industrials,8.27
KEPL3,Industrials,10.76
KLBN4,Basic Materials,4.7
LEVE3,Consumer Cyclical,40.13
LIGT3,Utilities,5.22
LOGN3,Industrials,37.44
LPSB3,Real Estate,2.06
LREN3,Consumer Cyclical,12.96
LUPA3,Energy,2.16
MDIA3,Consumer Defensive,36.15
MGEL4,Basic Materials,15.0
MGLU3,Consumer Cyclical,1.79
MILS3,Industrials,10.94
ENEV3,Utilities,11.11
MRFG3,Consumer Defensive,6.92
MRVE3,Consumer Cyclical,9.29
MULT3,Real Estate,25.26
MYPK3,Consumer Cyclical,12.34
ODPV3,Healthcare,10.7
OSXB3,Energy,6.28
PDGR3,Real Estate,3.24
PETR3,Energy,39.71
PETR4,Energy,36.68
PFRM3,Healthcare,3.73
PINE4,Financial Services,3.68
PLAS3,Consumer Cyclical,7.7
PMAM3,Basic Materials,4.47
POMO3,Industrials,4.26
POMO4,Industrials,5.48
POSI3,Technology,6.87
PSSA3,Financial Services,25.95
PTBL3,Industrials,5.01
PTNT4,Consumer Cyclical,8.81
ENAT3,Energy,17.77
QUAL3,Healthcare,2.9
RAPT3,Industrials,9.17
RAPT4,Industrials,11.0
RDNI3,Real Estate,4.46
RENT3,Industrials,53.35
FRTA3,Consumer Defensive,2.74
RNEW11,Utilities,3.56
ROMI3,Industrials,11.78
RSID3,Consumer Cyclical,3.71
SANB11,Financial Services,27.4
SBSP3,Utilities,62.81
SCAR3,Real Estate,24.4
SGPS3,Consumer Cyclical,2.05
SHOW3,Consumer Cyclical,2.33
SLCE3,Consumer Defensive,37.74
SLED4,Consumer Cyclical,1.6
SMTO3,Basic Materials,38.68
EGIE3,Utilities,41.15
TCSA3,Real Estate,2.72
TECN3,Consumer Cyclical,3.43
TEKA4,Consumer Cyclical,10.5
TGMA3,Industrials,24.16
TOTS3,Technology,26.88
TPIS3,Industrials,4.27
TRIS3,Real Estate,4.89
TAEE11,Utilities,33.78
TRPL4,Utilities,21.85
UGPA3,Energy,20.21
UNIP3,Basic Materials,70.22
UNIP6,Basic Materials,77.34
USIM3,Basic Materials,6.47
USIM5,Basic Materials,6.27
VALE3,Basic Materials,67.3
VIVR3,Real Estate,3.29
VIVT3,Communication Services,46.54
VLID3,Industrials,16.65
WEGE3,Industrials,34.65
BRSR5,Financial Services,18.9
SANB4,Financial Services,14.4
STBP3,Industrials,7.91
CGRA3,Consumer Cyclical,24.76
CLSC4,Utilities,63.99
