Symbol,Sector,Current Price
PRSV11,Financial,77.53
RBRD11,Financial,38.89
RBVO11,Real Estate,8.37
RNDP11,Financial,132.5
RNGO11,Real Estate,43.45
SHPH11,Financial,792.0
SPTW11,Financial,41.11
VRTA11,Real Estate,88.2
XPCM11,Real Estate,10.34
SANB3,Financial Services,12.75
FRAS3,Consumer Cyclical,15.15
GEPA4,Utilities,26.72
OFSA3,Healthcare,20.0
AAPL34,Technology,44.48
ABTT34,Healthcare,38.62
AMGN34,Healthcare,50.9
AMZO34,Consumer Cyclical,33.12
ARMT34,Basic Materials,58.98
ATTB34,Communication Services,24.27
AXPB34,Financial Services,77.53
BERK34,Financial Services,86.54
BOAC34,Financial Services,34.56
CMCS34,Communication Services,44.41
COCA34,Consumer Defensive,45.31
CSCO34,Technology,54.06
DISB34,Communication Services,28.86
EXXO34,Energy,69.94
FDMO34,Consumer Cyclical,60.83
GEOO34,Industrials,552.86
GSGI34,Financial Services,51.82
HALI34,Energy,216.53
HOME34,Consumer Cyclical,53.02
HPQB34,Technology,136.37
ITLC34,Technology,30.21
JNJB34,Healthcare,52.1
JPMC34,Financial Services,74.0
LMTB34,Industrials,2217.6
MMMC34,Industrials,113.85
MRCK34,Healthcare,65.41
MSCD34,Financial Services,64.89
MSFT34,Technology,69.51
NIKE34,Consumer Cyclical,51.8
ORCL34,Technology,91.26
PFIZ34,Healthcare,41.02
PGCO34,Consumer Defensive,52.47
SBUB34,Consumer Cyclical,471.84
VERZ34,Communication Services,26.29
VISA34,Financial Services,60.48
WALM34,Consumer Defensive,50.62
WFCO34,Financial Services,52.64
BOEI34,Industrials,942.82
CHVX34,Energy,83.93
COPH34,Energy,52.53
CTGP34,Financial Services,34.42
IBMB34,Technology,703.61
LILY34,Healthcare,101.9
MCDC34,Consumer Cyclical,63.18
MFII11,Real Estate,93.1
MSBR34,Financial Services,80.35
NFLX34,Communication Services,36.0
PEPB34,Consumer Defensive,53.8
SLBG34,Energy,150.75
UPSS34,Industrials,49.44
USBC34,Financial Services,44.0
GUAR3,Consumer Cyclical,5.03
ACNB34,Technology,1547.9
BONY34,Financial Services,219.87
DHER34,Healthcare,37.93
KMBB34,Consumer Defensive,613.0
METB34,Financial Services,319.0
TELB4,Communication Services,12.3
TGTB34,Consumer Defensive,565.23
WHRL3,Consumer Cyclical,4.26
BMYB34,Healthcare,287.75
COLG34,Consumer Defensive,51.45
COTY34,Consumer Defensive,24.45
EBAY34,Consumer Cyclical,105.36
FCXO34,Basic Materials,61.02
FDXB34,Industrials,1250.14
GDBR34,Industrials,1212.64
HSHY34,Consumer Defensive,192.1
MDLZ34,Consumer Defensive,159.68
MOSC34,Basic Materials,31.18
QCOM34,Technology,46.88
TEXA34,Technology,51.55
WUNI34,Financial Services,67.48
XRXB34,Technology,77.7995
SHUL4,Consumer Cyclical,7.51
ATOM3,Communication Services,2.14
KHCB34,Consumer Defensive,39.72
SAPR4,Utilities,4.68
CRIV4,Financial Services,5.69
RPMG3,Energy,2.31
BRSR3,Financial Services,11.87
ENGI11,Utilities,43.69
SNSY5,Consumer Cyclical,3.91
AZEV4,Industrials,2.42
BAHI3,Consumer Defensive,9.31
BALM4,Healthcare,10.0
BAUH4,Consumer Defensive,70.0
BDLL4,Industrials,9.2
BEES3,Financial Services,8.51
BEES4,Financial Services,9.67
BGIP4,Financial Services,22.48
BMEB3,Financial Services,13.58
BMEB4,Financial Services,12.03
BMIN3,Financial Services,23.92
BMIN4,Financial Services,16.0
BMKS3,Consumer Cyclical,321.0
